,X,Y,objectid,Designação,nome_escola,endereco,bairro,cre,cod_atividade,globalid,cod_microarea,Código da Escola_x,Nome da Escola_x,Média - 6º a 9º ano,Taxa de Aprovação - 2021 - 6º,Taxa de Aprovação - 2021 - 7º,Taxa de Aprovação - 2021 - 8º,Taxa de Aprovação - 2021 - 9º,Indicador de Rendimento (P)_x,Nota SAEB - 2021 - Matemática_x,Nota SAEB - 2021 - Língua Portuguesa_x,Nota SAEB - 2021 - Nota Média Padronizada (N),IDEB 2021 (N x P)_x,Código da Escola_y,Nome da Escola_y,Taxa de Aprovação - 2021 - 1º ao 5º ano,Taxa de Aprovação - 2021 - 1º,Taxa de Aprovação - 2021 - 2º,Taxa de Aprovação - 2021 - 3º,Taxa de Aprovação - 2021 - 4º,Taxa de Aprovação - 2021 - 5º,Indicador de Rendimento (P)_y,Nota SAEB - 2021 - Matemática_y,Nota SAEB - 2021 - Língua Portuguesa_y,Nota Média Padronizada (N),IDEB 2021 (N x P)_y
950,-43.5448966740216,-23.0199509678802,17297.0,1026014,Escola Municipal Euclides Roxo,"Estr. da Barra de Guaratiba, 750  ",Barra de Guaratiba,10.0,1.0,{08A67FF1-3123-4857-ABAF-11BF07B38F20},10.29,,,,,,,,,,,,,33082871.0,ESCOLA MUNICIPAL EUCLIDES ROXO,100.0,100,100,100,100,100.0,1.0,220.59,199.27,5.796876,5.8
951,-43.2638891075545,-22.8941906010742,17299.0,313502,CIEP Chanceler Willy Brandt,"Rua Álvaro Seixas, S/Nº  ",Jacaré,3.0,3.0,{5E5C57C5-9513-482F-A936-A014DF6A742F},3.11,,,,,,,,,,,,,33071322.0,CIEP CHANCELER WILLY BRANDT,99.7,98.9,100,100,100,100.0,0.99778,185.46,166.65,4.533366,4.5
952,-43.1818158804302,-22.9228959837434,17300.0,204002,Escola Municipal Maria Leopoldina,"Rua Santo Amaro, 133  ",Santa Teresa,1.0,1.0,{E35DEE83-924B-4197-8199-B55E7A25C628},1.8,,,,,,,,,,,,,33064164.0,ESCOLA MUNICIPAL MARIA LEOPOLDINA,100.0,100,100,100,100,100.0,1.0,213.28,210.58,5.863009,5.9
953,-43.1893223956146,-22.895752768462,17301.0,101003,Escola Municipal Darcy Vargass,"Rua Souza e Silva, 112  ",Gambôa,1.0,1.0,{92A1A2A5-C60C-459C-A300-6D7EF01059AE},1.6,,,,,,,,,,,,,,,,,,,,,,,,,
954,-43.1998794990918,-22.9013659736011,17302.0,101006,Escola Municipal Francisco Benjamim Galloti,"Rua da América, 81  ",Santo Cristo,1.0,1.0,{3AF1A019-4713-4FD2-BAF8-F9B78E55D7F5},1.5,,,,,,,,,,,,,33062447.0,ESCOLA MUNICIPAL FRANCISCO BENJAMIM GALLOTI,100.0,100,100,100,100,100.0,1.0,201.56,187.99,5.228618,5.2
955,-43.2253675339492,-22.8809010504657,17303.0,101501,CIEP Henfil,"Rua Carlos Seidl, S/Nº  ",Caju,1.0,3.0,{C7F8FB46-38E4-4ABB-8852-FD559B561E54},1.1,,,,,,,,,,,,,33062358.0,CIEP HENFIL,100.0,100,100,100,100,100.0,1.0,188.42,175.26,4.7464,4.7
956,-43.2700822043525,-22.8648834363714,17304.0,329001,Escola Municipal Professor Mourão Filho,R Maquinista Aristóteles Ferreira s/n,Complexo do Alemão,3.0,1.0,{4A62DD8C-FCB8-4D66-AC27-D1172C2268E6},3.21,,,,,,,,,,,,,33069425.0,ESCOLA MUNICIPAL PROFESSOR MOURAO FILHO,100.0,100,100,100,100,100.0,1.0,186.82,180.3,4.807502,4.8
957,-43.2194031646022,-22.9109243451878,17305.0,209001,Escola Municipal Benedito Ottoni,"Rua Senador Furtado, 90  ",Maracanã,2.0,1.0,{8FEA7B13-BA3E-4146-9CBD-43A2CE13799E},2.15,,,,,,,,,,,,,33066990.0,ESCOLA MUNICIPAL BENEDITO OTTONI,97.0,100,88.1,100,96.3,100.0,0.966465,232.61,222.29,6.444811,6.2
958,-43.2795500490667,-22.911066026923,17307.0,313503,Escola Municipal Lins de Vasconcelos,"Rua Engenheiro Brotero, 26  ",Lins de Vasconcelos,3.0,1.0,{6BE77BD2-6FE9-40B1-85B7-44100F99AD1D},3.5,,,,,,,,,,,,,,,,,,,,,,,,,
959,-43.2390684626967,-22.9342864725825,17308.0,208008,Escola Municipal Almirante Barroso,"Rua Homem de Melo, 302  ",Tijuca,2.0,1.0,{CAE26007-5C42-49A9-A780-4CB8C90BCE61},2.13,,,,,,,,,,,,,33066965.0,ESCOLA MUNICIPAL ALMIRANTE BARROSO,100.0,100,100,100,100,100.0,1.0,204.94,197.09,5.458576,5.5
960,-43.261119497706,-22.9493289638635,17309.0,208021,Escola Municipal Mário Faccini,"Av. Edson Passos, 711  ",Alto da Boa Vista,2.0,1.0,{07F4279C-BDCB-46A8-A32A-A8C1FF393D68},2.11,,,,,,,,,,,,,33067163.0,ESCOLA MUNICIPAL MARIO FACCINI,98.4,100,94.4,100,100,100.0,0.988275,212.79,205.71,5.765112,5.7
961,-43.2853747612736,-22.9744615449621,17310.0,208022,Escola Municipal Mata Machado,"Estr. das Furnas, 1.467  ",Alto da Boa Vista,2.0,1.0,{307E706F-4E44-44E1-BCFC-FC46C6447756},2.11,,,,,,,,,,,,,,,,,,,,,,,,,
962,-43.297353108417,-22.9672290113678,17312.0,208020,Escola Municipal Diogo Feijó,"Estr. da Paz, 1.474  ",Alto da Boa Vista,2.0,1.0,{346852AC-3017-4D90-90E9-278EE5AABF63},2.11,,,,,,,,,,,,,33067040.0,ESCOLA MUNICIPAL DIOGO FEIJO,98.9,94.7,100,100,100,100.0,0.988931,252.44,243.0,7.199792,7.1
963,-43.3567032068777,-22.8102581030272,17313.0,625020,Escola Municipal Artur Azevedo,"Av. Sargento de Milícias, S/Nº  ",Pavuna,6.0,1.0,{560D8941-EAA8-4C21-9878-C85352283267},6.1,,,,,,,,,,,,,,,,,,,,,,,,,
